item_id,attribute_list
0,7001 6354 10943 2008 11057 16342 8417 11948 12059 11886
1,5027 1270 739 291 5902 5043 1283 5030 5051 757
2,5572 14963 5483 819 5434 3176 15119 12556 5849 921
3,5432 4545 4571 895 5410 5414 5420 5422 5424 4556
4,13237 4265 1547 1554 10975 1605 11003 10978 1614 1619
5,2846 15725 12548 15373 6749 12584 14397 14923 14868 15342
6,4887 2987 1185 3761 4600 16238 10872 3773 10886 10887
7,4395 1189 3853 14004 12456 11157 11694 11692 1059 11453
8,5517 17393 14955 17376 17381 9817 17344 9790 17412 17409
9,324 1455 5074 985 5885 5761 329 328 1444 5432
10,8326 5823 149 17674 597 4764 9567 14587 5643 5428
11,5693 5679 14998 3402 15880 3459 5649 3351 6530 5675
12,4265 9392 5212 1890 758 16944 14052 7371 15676 8032
13,8326 216 5910 17956 5363 18014 1801 9000 13063 15103
14,3994 4022 3976 1730 1669 4029 4023 1619 1736 1715
15,16114 3890 12765 84 6210 391 388 7624 5473 7043
16,11377 162 10194 7290 12227 2307 11362 13769 17207 11110
17,10753 17921 13466 17344 17556 9640 13449 13471 10754 7716
18,11057 16342 13878 18056 4395 5099 5100 5105 5900 5902
19,2178 2204 14751 11501 14004 3342 6461 1059 10948 325
20,439 2192 2183 587 550 2121 615 434 2109 677
21,10943 6354 7001 14109 8043 1576 8033 10745 14107 2687
22,7001 10943 6354 758 1890 5212 9392 12226 7329 14038
23,10721 10762 10645 12510 12507 8060 10650 10719 12543 12512
24,10500 3659 2616 17417 9941 14884 12456 17540 11840 2575
25,17661 12563 17450 17667 17666 2118 13415 2112 16745 17453
26,11155 11334 10137 2381 17188 2067 5428 5643 11214 14587
27,1890 10943 758 10500 6354 7001 11057 16342 5841 3265
28,7412 16154 12101 10130 7418 16170 13731 7406 10162 13755
29,14500 14107 1633 1946 1446 14109 14491 14102 14473 12748
30,15880 15922 3351 5517 14285 746 3176 3586 3452 14448
31,13231 8326 5713 6530 15145 15151 3291 15230 15300 5679
32,4803 4126 4121 516 517 4119 4789 538 4106 4791
