user_id,item_list
0,6514 7873 8033 8111 6728 6615 7968 6597 1176 2418
1,1541 9201 9291 13767 16350 923 6233 9744 9667 4531
2,13497 9744 6975 803 4582 11274 4965 13032 7376 2283
3,15266 9758 15166 11266 10507 17502 12993 589 12979 4462
4,11182 11537 11212 11540 14994 1222 1243 1241 1231 8889
5,3864 530 3811 257 551 3824 5371 13856 9804 1049
6,329 2440 2528 6233 2328 322 7051 6905 2283 6981
7,5850 16390 133 14637 10487 8641 17547 6553 6644 13863
8,8242 10267 5090 2687 15831 14762 2200 2027 13908 13466
9,9099 9534 9327 9446 8946 12365 9341 9022 8820 12708
10,13400 15679 13387 7617 7195 7693 11759 4742 2376 11069
11,7973 8938 9562 12492 10153 13758 8735 16239 10275 10212
12,757 3955 7116 1843 3179 2996 3830 4693 7117 3369
13,13931 7611 14037 14955 12740 13554 13597 14176 14536 15079
14,7270 13030 6514 6728 5185 7308 7117 10954 5051 5166
15,6456 12520 1176 3937 8602 11608 8756 5999 14543 12784
16,8033 8111 6514 6615 6597 7873 7968 6728 14397 9462
17,7873 6514 6615 8033 8111 7968 6597 6728 9329 15436
18,9621 2673 6095 2388 16640 4639 6552 12450 11161 7506
19,6713 13156 14121 5691 14026 15732 11263 12098 14047 12315
20,16681 5569 17943 5806 5228 6507 6654 9060 5795 12774
21,5465 10719 11730 11532 2232 5423 11723 11409 12486 12629
22,9329 18011 17625 7117 7116 8938 5004 5424 13112 5110
23,2320 2328 14818 11346 16436 11271 5367 16448 5364 11343
24,3384 5166 12943 2442 14047 14585 7270 13736 11498 5004
25,8203 8202 8233 10351 8207 8299 8124 10376 10845 10360
26,579 9543 9573 293 8666 8591 4240 13755 13980 629
27,17291 16974 9422 13971 14296 13975 13980 13981 17022 629
28,8676 8752 8491 8513 629 8591 9573 8666 9422 8826
29,13236 13162 13288 4803 13279 13277 13274 4742 13170 13131
30,322 6905 10726 10445 13366 7376 2283 803 923 9744
31,4225 17578 3130 14963 11166 1576 1423 15698 2267 14967
32,8833 10197 6670 14628 10726 9718 9744 17631 3829 11181
33,10181 10182 10790 1222 7760 13496 16255 15503 2115 1215
34,14109 14107 4965 3156 11362 13449 14102 13471 1175 12492
35,5892 5638 12759 5798 5636 6113 5928 604 6146 8404
36,10719 10553 7464 9747 3937 675 7553 7543 7495 10831
37,6597 6615 6514 7873 7968 8033 8111 6728 13112 7116
38,10182 10181 15507 5983 17520 12379 16436 11844 18031 17733
39,17553 14813 8242 14762 2200 5819 17159 2687 15831 13908
40,1208 803 13366 14440 322 2283 6670 9667 16350 7376
41,2320 2328 12651 15037 1107 17236 8299 15040 4731 15626
42,5981 6112 5983 8310 6290 5721 5797 8326 5974 6365
43,322 16598 4965 10445 6905 923 803 16350 7376 14440
44,14891 9745 15299 15271 17408 12659 17459 5271 10483 6424
45,2328 2320 1736 3859 932 3814 1730 3366 2996 1843
46,10760 10766 10677 10692 10709 10721 1603 10650 10800 10845
47,5836 12812 15551 15835 11723 11730 10831 12370 5847 12901
48,11836 5983 17734 17733 5974 11860 11871 15463 6311 18031
49,2283 923 13366 15746 10445 17236 15626 4965 7376 1208
50,5819 17553 14813 5090 10267 14762 13466 16778 15922 13630
51,2827 4093 4532 2831 7679 15698 2836 10470 15097 838
52,15016 4725 7449 337 715 10618 14380 6796 5098 7591
53,16350 923 7376 15746 2283 6975 16791 9667 10726 10445
54,244 11620 74 2440 7376 16598 17398 6923 4582 2283
55,4025 7301 7270 3179 932 5324 5051 3889 13030 3035
56,14093 8437 8467 12821 10831 1949 7428 9770 5836 2448
57,2772 2182 17733 17734 8133 14987 9847 11844 15488 16415
58,5795 8747 9060 13691 12774 13531 14996 2055 14213 5287
59,14432 16996 16957 7964 7929 14414 7915 16991 14468 12388
60,16808 17236 6905 4582 4190 6233 1208 12388 16011 9744
61,10692 8476 7984 8202 10103 10351 7276 10316 8043 10518
62,5981 2177 10370 17926 11844 5983 11836 17734 10484 11871
63,16195 16197 10162 10790 12388 5030 15938 16154 11414 4190
64,519 6514 17375 7873 10946 6615 8033 7968 17498 6597
65,6514 6597 5051 7117 8033 7968 5004 7116 6615 7873
66,391 17525 6456 2052 9323 6577 16889 16964 14543 6250
67,6728 7377 5051 7116 6514 5004 8033 7429 7117 6615
68,10857 4306 732 10062 10845 4545 720 5130 2746 2739
69,1076 1086 17214 2112 5836 5847 11730 8769 11723 16051
70,6613 6614 2949 4614 10760 8050 1381 8060 9744 4582
71,13112 3955 5051 5004 3994 7117 4025 7116 4023 11116
72,1137 1181 17386 8392 9392 8371 5004 4023 9319 17453
73,1176 2418 2052 2792 552 16573 12784 2797 6250 16476
74,8253 8973 3134 13802 210 12719 13000 11992 491 4195
75,4946 4620 2475 15412 6941 16344 198 3486 8682 17345
76,2782 5525 11182 8213 11185 16487 15908 11419 2077 11472
77,11063 9489 10454 6501 15448 11153 2248 10952 4649 918
78,13074 2124 2005 16122 9833 6576 4943 12982 440 3911
79,5621 5478 7315 6514 8180 17450 7968 8259 10789 9738
80,8525 6112 5974 9534 5981 5983 6011 8326 45 8567
81,4335 11102 13758 9329 16557 3374 5110 1220 16239 7973
82,874 1802 11085 489 4088 1824 12199 4093 11096 16550
83,10181 15507 10182 8111 6514 7873 7553 7543 5392 739
84,5056 552 16573 2482 8580 8756 772 11608 14159 16874
85,14133 8506 15232 8462 8467 10553 6159 10546 12627 10586
86,9530 16239 3691 6577 6570 14543 8716 13758 15518 8756
87,17236 322 10445 16598 7376 10726 2283 4965 675 9667
88,640 2179 16239 8735 11102 5110 4029 4693 8938 18011
89,1208 16350 9744 2283 6233 10445 10726 15746 17236 4965
90,5051 7968 7116 7873 7117 13112 5004 6728 8033 8111
91,14953 7495 1459 5403 11901 17759 3783 7486 16920 5414
92,17236 10726 13366 2283 9744 4582 10445 9667 322 4965
93,3064 277 11742 11332 4802 11078 2411 16296 17927 16860
94,13366 10726 14052 16350 10445 1208 16791 12249 923 17236
95,5051 13112 13030 7301 7116 7117 5185 12944 10182 17450
96,17236 4965 15626 923 10445 2283 13366 1208 9667 10726
97,9201 13767 9291 1541 6233 13032 2352 4332 9744 16350
98,15507 9010 9325 460 8803 9198 85 8807 106 16793
99,7873 6728 7968 6514 8111 8033 6615 10719 5241 7377
100,923 322 14440 10726 803 15626 7376 6975 15746 13366
101,2298 15383 15922 15831 13908 6676 2200 8316 9726 13466
102,6339 13035 7374 3315 12015 3632 1619 9776 5892 2442
103,7968 6615 7873 6728 8111 8033 6514 7308 13030 5166
104,16415 17520 16424 6365 5789 5974 12378 11776 11836 12510
105,14536 14838 13708 16598 14052 16550 14440 13366 1208 14923
106,6804 6873 6641 6693 6793 6613 6940 6933 6589 6927
107,640 1941 8938 5424 16239 16557 2179 18011 4693 11102
108,6728 6597 7968 6514 8033 6615 8111 10181 10719 3035
109,4902 14879 2913 13068 3387 4388 15407 17433 11625 13370
110,4025 4023 3955 3994 13447 7083 4914 11342 4861 11389
111,772 16889 16573 15518 17266 11608 14543 16874 8756 3937
112,16451 8614 16384 16386 10746 12821 12812 9643 9658 16437
113,5669 5569 1580 9324 4007 10675 6654 5287 5228 6591
114,17450 10762 5575 10791 2326 7376 7377 12812 16350 9770
115,10746 7495 15756 7553 7543 5392 15507 7464 5414 10181
116,241 5836 2393 15551 7429 10502 12794 5317 15639 2478
117,2328 16791 15746 2283 1208 9744 14440 17236 4965 13032
118,11825 13370 11183 5261 2376 2366 10316 6071 9995 4645
119,10675 12297 9321 2326 15746 2283 2055 12821 8467 15712
120,2328 2320 322 16808 9667 923 803 4582 6233 6670
121,678 663 16384 8946 4055 12708 4022 8974 8976 8936
122,6811 1255 17450 17236 6233 9744 7376 4965 6905 10726
123,10182 10181 10719 16424 5317 12712 5797 16415 12812 12060
124,17236 13366 6905 10726 16350 13032 15626 4582 16791 16598
125,15507 13531 7543 5669 5795 5806 7464 17450 10675 5569
126,11860 6311 17733 14752 17734 4678 15118 16290 10484 13622
127,6676 15831 5141 9686 17553 14762 5090 13630 4837 2200
128,1541 541 4928 16350 8895 322 7727 2283 10588 16791
129,2320 5423 744 15507 17450 11532 675 6527 2328 6463
130,17236 2283 923 6233 9667 6670 4582 7376 10445 13032
131,5974 5983 11836 6365 17733 17734 10586 5797 12370 5721
132,4679 10675 8747 16681 17943 14273 5795 6654 5569 9139
133,15425 15415 15266 7862 1534 1142 585 927 10153 16716
134,6011 16415 17926 8291 16338 8284 16020 2087 5983 11944
135,5292 5241 5317 5247 5797 7377 12901 17450 10181 5981
136,5806 9060 13531 412 10675 12298 5569 14273 16440 13410
137,10546 10719 12658 10791 10553 10762 10831 12712 12794 12714
138,10267 5819 5090 15831 17553 5141 13703 16778 8242 13914
139,5478 1802 2698 923 4965 595 15746 9667 609 9982
140,13908 2687 2027 2200 17553 5819 2298 8316 15383 14449
141,3829 17631 2756 15786 8833 17842 2414 7422 7771 13677
142,739 5460 5392 5432 7495 5414 10181 10182 7486 7464
143,12794 5241 7428 7377 5317 10791 12901 12812 10719 12821
144,10789 8448 9738 8160 8259 7315 8461 8180 9590 11708
145,10831 5292 5241 10553 5247 12901 7428 12370 5801 7429
146,1221 1231 5712 14286 1215 14248 1222 1241 12605 17023
147,10061 8310 8291 16424 10044 16343 16338 1870 16751 8284
148,4614 11150 9968 10692 7418 7412 6804 5186 7419 4430
149,13112 7117 7301 12944 7116 3955 5051 4025 7308 5185
150,5983 17734 17625 17733 11836 5981 15463 6676 8242 12378
151,12812 15681 12712 5317 7377 10719 12714 15835 15579 7429
152,13298 11170 13178 13383 11100 11355 13112 11389 13447 11116
153,5980 11495 1070 10351 5972 3243 7878 10360 11133 7888
154,10719 8437 5815 10831 7429 7428 13032 10445 2555 15626
155,14511 3777 8159 1201 17008 3735 10260 14428 3715 12544
156,17236 6905 7376 15626 803 16598 15746 4965 923 322
157,15507 10181 10182 5392 7553 10645 675 8111 17450 7543
158,9747 16476 16874 16889 17525 5999 6570 15518 16573 772
159,7803 11829 7356 4170 13693 2778 10470 13688 4470 13279
160,17375 17360 17498 13149 17586 16399 14913 11318 18019 17267
161,16598 10865 9667 17236 923 322 2283 7376 10445 10726
162,6670 16808 2283 6233 10445 4965 17236 9667 15746 1208
163,10445 4582 13366 6233 13032 2283 803 14440 6975 10726
164,8739 15493 17082 17246 5289 15919 6957 12767 17547 8323
165,7873 6615 8033 8111 7968 6514 6728 6597 16216 6613
166,6514 8033 7873 6597 6728 6615 8111 7968 8467 923
167,6233 17236 9667 10726 7376 1208 803 4582 4965 6670
168,17450 3035 5815 15835 10620 2448 772 1013 8688 9323
169,12967 15346 10760 7276 13028 2827 2831 4902 12975 7356
170,6811 3715 14511 3695 1110 12812 12794 3777 12821 3735
171,3660 3668 11861 6495 8775 11870 583 15026 6503 7483
172,1176 2418 2792 15998 16737 2797 16765 14532 14096 16558
173,1315 17017 3555 16931 11488 7827 1202 7854 7397 12452
174,9291 1541 13767 9201 15016 10618 14238 12136 11708 11652
175,6578 10007 6693 6641 6614 6613 6602 6793 6535 6379
176,6820 2736 4214 11490 6747 8744 11599 11586 16505 2754
177,7327 6644 17721 15331 15965 3981 13924 2442 9889 6400
178,5110 7973 4693 11102 13758 8938 16239 9329 4029 5424
179,6597 6728 7873 6514 8033 8111 7968 6615 4927 16807
180,8111 8033 2320 6514 2328 6728 6615 6614 4170 10062
181,923 7376 10445 14440 15746 4582 1208 17236 16808 6233
182,4029 16557 7117 7116 11102 8938 8735 640 5004 5051
183,5789 12378 5797 17520 12379 16424 11836 6365 6011 12510
184,8316 8242 13914 5819 5090 15831 2298 8898 13908 2027
185,675 17450 5414 739 5432 5392 15507 5460 10181 7486
186,14987 9445 9575 12378 11703 12415 2087 9462 14473 14952
187,6923 190 11179 7051 1467 2440 14696 6981 11973 2528
188,17396 15470 2949 15434 2931 15461 10692 6641 6693 12112
189,15486 4465 10288 301 15538 2456 2464 4427 5240 15703
190,17450 16791 10181 5414 6905 6670 923 10182 675 16350
191,432 140 6836 207 6918 4756 8710 11199 2012 12413
192,1176 2418 3323 7354 3343 15204 15206 3333 16424 3350
193,7354 7483 5700 5692 12330 7280 12332 16448 7506 10611
194,10620 8467 12714 2326 8437 12712 12821 5247 15681 2393
195,15746 7376 322 13366 10445 923 15626 6233 4965 4582
196,13178 11100 11389 4025 13229 5185 10954 13298 3955 13447
197,9640 8139 7106 15880 3351 11738 15971 5925 9675 3156
198,7543 5460 11723 11730 10719 5392 5414 7553 5432 7495
199,803 14440 16350 10445 322 2283 16808 4582 9744 6233
200,6845 10689 12175 8675 12227 10678 11823 6713 831 787
201,5819 17159 4837 4982 10267 9726 2298 13914 13908 13630
202,10677 6613 8299 6614 1381 4803 10692 17936 7617 6041
203,13288 13274 13372 13370 13362 13357 6267 13293 13415 13277
204,10762 5292 5247 5847 5836 5815 5801 5241 5317 10620
205,4025 11170 3955 13447 11116 3994 13178 13112 11342 4023
206,6597 8111 7873 6514 6615 7968 6728 8033 11823 824
207,1601 13914 13908 8898 5819 4982 10267 2298 2200 13630
208,7973 4029 5110 640 4693 18011 13758 11102 12492 16239
209,15518 16620 17266 16573 8716 8602 16964 8580 14159 2052
210,3848 7221 8441 5599 17002 13758 17667 17584 7787 11896
211,4545 4791 5213 5212 13473 7803 15514 4306 8124 8299
212,923 13366 322 6670 17236 16350 15746 4965 9667 2283
213,14543 6456 9363 9323 16573 14010 6570 11608 5056 16620
214,277 11742 11332 16296 2411 3044 11078 17927 10809 17035
215,9846 2880 16350 15626 9790 12415 9575 322 4725 103
216,9667 4582 16350 2283 10726 15626 6975 16808 10445 7376
217,7968 6728 7873 6615 8111 6514 8033 6597 15507 10181
218,2680 11160 13949 615 13940 5434 2657 5517 9224 2671
219,2298 13703 9686 13908 2027 14813 13630 8242 15831 9726
220,7968 7873 8111 8033 6728 6514 6597 6615 1843 932
221,10182 10181 4542 15835 7823 7464 5850 3324 1391 2135
222,6518 6482 7053 17072 15425 15415 13366 6233 6670 803
223,13804 4275 8803 13941 8513 324 13809 9543 4240 447
224,7117 13112 5051 7116 5004 2979 3847 3369 4023 3994
225,6233 13366 923 4582 17236 16598 15626 2283 322 9667
226,10445 4582 803 4965 6905 7376 16808 6233 1208 13366
227,5110 17584 16239 13758 18011 5424 7973 4029 11102 2179
228,10445 10865 17236 4965 13032 16350 923 6975 13366 2283
229,10620 10791 10322 15639 5241 14093 5247 15712 5292 7428
230,10726 15746 4582 10865 6975 15626 17236 7376 6670 803
231,5789 5974 16424 16436 11776 6365 5761 17733 5797 12060
232,363 344 329 405 3694 8525 16558 14532 6514 4992
233,2996 10181 1736 3859 3366 3369 3632 3179 3026 3315
234,7301 10954 5185 5166 13030 7116 5051 12944 5004 7270
235,3631 2187 1945 11823 7308 5051 5185 4055 363 7117
236,14021 9532 783 9948 2658 9786 3553 8123 1320 10405
237,11451 9265 13535 9166 13567 3763 12322 12493 9697 13164
238,16440 16681 5569 5287 9324 5669 5228 13531 4007 17943
239,13630 15831 15922 2027 4982 4837 2298 10267 9686 14762
240,648 15115 5289 9975 6553 2442 3469 4445 2494 3324
241,2843 2797 2792 2920 2654 10831 10791 13497 11179 2655
242,5455 30 9320 14781 7861 4332 5954 11259 4531 10295
243,6615 6728 7873 8111 8033 3680 3366 3955 1663 1040
244,16744 6076 14254 13410 10181 6087 12774 4419 9324 5287
245,17257 16300 17264 14882 5992 6219 5984 14832 2320 5987
246,6290 11764 9938 15433 15427 11776 2380 12378 8133 12733
247,10445 9667 17236 16791 322 6233 1208 6670 10726 6975
248,12155 9992 8062 13134 8060 4784 2636 8056 8431 11193
249,14818 6228 5317 9770 10762 15579 7873 10791 10620 15712
250,15626 17236 6975 10445 6905 4582 2283 16350 14440 1541
251,6811 5371 16906 12677 5387 12660 5372 12720 5360 5335
252,16760 11630 2081 12696 11716 11078 277 11633 17035 2145
253,11178 4711 12111 4721 11166 13068 12112 11183 17614 4729
254,11778 13236 11825 13131 13293 13877 8476 13896 13693 13473
255,11990 6845 4980 4542 14047 6713 4679 5691 5639 12315
256,7117 5051 13112 7116 5004 6623 17409 16130 1665 17411
257,6577 5999 12784 9363 5056 9747 15518 391 17525 8756
258,10182 7543 7553 7486 7464 7495 10645 10181 5424 12712
259,9658 1945 8742 9635 9643 8615 8554 5463 3895 12804
260,7376 6233 923 15626 4965 10865 9667 803 9744 16350
261,6676 8242 16778 17553 4982 14762 13914 13908 9726 4837
262,13466 9329 4693 8898 4837 10267 11102 2200 5819 15831
263,14181 5123 14720 12092 9817 7001 12095 1663 10726 15159
264,17733 17734 5983 17625 7711 17236 11776 6011 11764 12510
265,6811 12714 10762 12658 10746 10719 12712 12281 12812 12901
266,10753 10754 7973 11401 12686 11703 1619 16557 9849 9462
267,10376 10390 13372 13387 13400 13415 13417 13370 4603 4614
268,10721 2778 17565 10650 7419 10677 10692 4306 2913 4729
269,6615 6728 6597 7873 6514 7968 8033 8111 10295 30
270,15746 923 16350 16598 322 6905 4965 17236 7376 9744
271,13032 15746 923 322 17236 6233 16350 7376 10726 4582
272,17450 5166 17842 1554 5004 3026 5051 3035 1730 10181
273,13366 16791 10445 923 17236 322 9667 9744 2283 4965
274,9907 15732 13297 14121 13156 11263 6293 9975 239 4542
275,1813 14918 7215 9614 388 2154 10317 16418 5589 703
276,6728 7968 6514 6597 8111 6615 8033 7116 823 13758
277,419 8548 16377 17000 1924 610 14246 14706 11245 9242
278,1736 1013 3179 757 3814 3366 2979 823 1554 2996
279,11513 12960 10130 7356 5801 5815 9489 2931 5836 732
280,8878 17450 16161 6947 15487 8838 16807 11160 6891 8926
281,1086 1076 9726 5030 10162 13609 13703 14449 2141 2298
282,5761 5721 6365 6011 6112 5789 5797 5983 17734 1870
283,7117 7116 11498 5004 5051 13112 11480 4914 7075 2179
284,11605 10109 11709 9967 11590 17438 11762 11421 11188 13170
285,13811 4335 16088 539 13734 7634 5839 14254 1790 5701
286,2671 16808 2680 17495 3351 4852 13366 7184 12167 6189
287,344 329 363 405 10245 12778 595 14123 9010 6615
288,10181 10719 10182 6514 322 5317 8033 12901 16808 10726
289,12132 12175 12825 12820 12584 12227 11823 12141 12548 17215
290,11681 2737 2697 6614 11655 11676 11613 10062 6641 2739
291,16279 30 11259 5954 3351 9201 16210 17813 3511 1503
292,15719 6746 11179 7051 11620 11274 13497 2440 74 4244
293,4693 8938 11102 7973 10562 13758 8735 16557 16239 5110
294,9995 6804 10338 16035 15691 7679 15698 8203 11495 12691
295,923 15626 16350 16598 9667 13032 10445 17236 322 7376
296,6570 3885 3937 6577 17525 15518 12784 16476 391 14543
297,11776 5761 5797 5983 11764 6112 17733 17625 6011 16415
298,329 405 344 363 3666 3718 1517 12804 12792 3614
299,4934 7724 4924 13636 7734 7803 13028 4545 4170 12975
300,6615 6514 8111 6597 7873 6728 8033 7968 5004 11480
301,5575 10502 5432 5836 5815 15579 5801 5460 6514 16350
302,17625 6290 11832 15463 5478 14850 10059 6311 18031 17976
303,6290 6311 18031 10478 10484 17734 6214 17733 11860 2636
