user_id,item_list
0,13229 3899 3473 2665 8635 9131 15119 8207 17364 16365
1,3473 13914 15778 7295 16365 14400 14181 2665 14868 17936
2,3899 17330 6214 8635 5273 5925 13134 10865 6177 2665
3,8194 14358 3899 17788 6975 17330 2665 13229 10865 3200
4,3473 6177 13134 14358 17330 2665 13229 16365 3768 16846
5,7264 1846 14396 9621 16640 13098 7867 11504 5895 11227
6,3473 6214 15119 14358 16846 3768 13229 13134 15778 5273
7,14358 13229 3768 3899 6011 15119 17364 9131 3473 2886
8,8635 3899 2665 14181 13134 5925 1259 6214 10865 3768
9,3473 8635 1941 8207 1551 15119 13914 14181 10865 1614
10,3899 3473 6214 6177 8635 14358 16846 16365 5273 5925
11,5273 13134 3473 14181 1137 10865 14400 14868 8502 9871
12,3899 17330 3473 13229 2665 14358 13134 14181 15778 4582
13,3899 17330 8635 10865 14358 6214 13914 16365 6177 15778
14,3899 3473 6214 14181 10865 5925 13914 16791 16846 1137
15,6214 8635 15119 16365 14358 17330 13134 10865 13229 6975
16,5273 8635 17330 13134 1259 13914 1551 5925 15778 4088
17,8635 6214 3473 17330 15119 2665 16846 10865 15778 5273
18,13229 15119 6177 3768 3473 6975 6011 13410 8635 2665
19,13229 6214 16846 16365 12186 13410 3768 17364 6011 640
20,3473 6177 5273 2665 17330 13134 1259 15119 1137 16846
21,9871 14181 6214 8502 14868 2665 7295 16364 9441 1941
22,8635 6214 17330 10865 5273 13914 14181 15778 2665 1137
23,6214 3899 15119 10865 14358 3768 2665 13229 13914 6975
24,6214 14358 16846 8635 6177 17364 2665 6011 17294 640
25,8635 5925 5273 1259 13134 1941 10865 15119 16365 1137
26,1259 8635 14181 1551 13914 1137 5403 14868 15778 9871
27,6214 3899 6177 13229 14358 16365 13410 6011 10865 14181
28,3899 17330 13229 14358 16365 6177 3768 10865 15778 13914
29,8635 14181 5273 13914 5925 15778 1137 10865 14868 1551
30,10865 3473 8635 9441 3942 16364 15778 10295 6177 13134
31,17330 10865 3473 5273 14181 1259 13134 6177 1137 6214
32,6214 16365 15119 14358 6975 3473 640 13229 6177 8635
33,3899 17330 16365 6214 2665 6177 13134 5273 13914 1259
34,14181 5403 5273 1551 3899 6905 3942 17584 10562 8635
35,17330 15778 1941 14400 14868 15119 14358 1551 6975 16365
36,6177 6214 3473 16846 7744 16365 15119 8635 3768 5951
37,9871 17330 13914 14400 1259 17135 3473 5273 15778 13638
38,8635 3899 6214 2665 16846 14358 14181 13229 10865 15119
39,6177 3899 8635 6214 13134 13914 16365 14358 15778 16846
40,16846 3473 14358 8635 2665 10865 1792 17330 3768 4582
41,3473 2665 16365 8635 14358 6214 13914 15778 1259 5273
42,6214 16365 6177 3768 5273 4582 14181 13134 16791 5925
43,3899 3473 10865 13914 1259 15778 1941 5403 1137 9871
44,3899 5273 5403 8635 13134 6905 4088 5925 17748 9871
45,13229 6214 13410 16846 16365 12186 8207 2665 3899 640
46,3473 3899 6214 16365 13134 15778 16846 5273 2665 1137
47,3899 3473 6214 8635 6975 15119 13134 10865 17330 3768
48,3899 8635 17330 10865 14181 16846 5273 13410 6177 1941
49,8635 1259 3899 14181 5273 5925 10865 1941 14400 1551
50,3473 6214 17330 2665 16846 14358 5273 13134 15778 15119
51,3899 8635 2179 17330 15119 5273 16486 13134 16365 1551
52,10865 13134 5273 3473 1137 15778 5925 1259 9871 2665
53,3473 3899 1259 13914 14181 1137 14868 14358 16791 3768
54,3899 6177 8635 14358 15119 17330 2665 3768 10865 13229
55,3899 3473 8635 17330 6177 1941 13134 5273 14181 6214
56,3473 8635 15778 1137 1259 5424 3889 14868 17022 6975
57,3899 6214 3473 8635 17330 16846 6975 2665 14358 10865
58,3473 8635 10865 5273 17330 6177 1259 13134 16846 14358
59,14358 15119 6177 3473 6975 2665 8635 3768 12186 640
60,8635 3899 3473 6214 10865 5925 1941 6177 13914 2665
