user_id,item_list
0,6354 14060 2178 10338 7001 10943 13576 2204 5250 5367
1,8326 4265 11057 16342 758 9392 5212 12943 1890 13237
2,2178 13576 14060 2204 2843 10943 5250 5367 7001 10338
3,11537 169 3157 2970 258 4144 10173 14220 11076 4708
4,8326 11057 4265 2843 2204 6354 10943 5250 14060 13576
5,6567 271 14149 14665 10800 10838 13561 11107 6595 7681
6,10338 2204 5367 14060 6354 10943 13576 5250 7001 2178
7,4265 16342 11057 8326 1890 5212 9392 12943 13237 758
8,5403 2843 5367 7001 2204 14060 5250 6354 13576 2178
9,8326 16342 4265 11057 1986 5128 8144 8774 11155 9555
10,16342 4265 11057 8326 9392 13237 758 1890 12943 5212
11,10943 5367 14060 5250 2178 2843 10338 13576 2204 6354
12,16342 4265 11057 5403 2843 7001 13576 10338 5367 2204
13,5403 11057 4265 16342 5367 2204 10943 2178 2843 13576
14,7001 2204 5367 10338 2178 2843 6354 10943 13576 14060
15,11057 4265 16342 6567 271 1185 7083 10432 10302 6589
16,13576 5250 2204 7001 2178 2843 6354 5367 10943 10338
17,16342 4265 11057 5403 7001 2843 13576 5367 5250 14060
18,4265 11057 16342 6940 2987 1185 10302 7083 4887 5245
19,8326 11057 4265 16342 5212 9392 1890 13237 12943 758
20,5403 14060 5250 5367 6354 10338 2843 2178 7001 10943
21,13576 10943 7001 6354 2204 5367 2178 5250 10338 14060
22,4265 16342 11057 2178 7001 14060 10338 10943 6354 5367
23,16342 4265 11057 9392 1890 5212 758 12943 13237 4795
24,16342 11057 4265 13576 6354 2843 7001 5250 10943 2204
25,8326 4265 11057 16342 5367 6354 10943 2204 5250 14060
26,16342 4265 11057 15917 3817 6129 14267 11334 17273 8627
27,6354 2843 14060 13576 7001 5367 2204 2178 10943 5250
28,6354 10338 14060 13576 7001 5250 5367 2843 10943 2178
29,5403 6354 2178 14060 5367 2843 13576 7001 10338 2204
30,5403 6354 2178 7001 13576 5250 14060 5367 2204 10338
31,16342 4265 11057 7001 10943 6354 2178 10338 14060 5250
32,4265 11057 16342 8326 10943 14060 5250 2178 2843 5367
33,11057 16342 4265 8326 13576 2178 7001 5367 14060 2843
34,5403 10338 2204 13576 2178 2843 5367 5250 14060 10943
35,8326 11057 4265 10943 2843 6354 2178 2204 13576 7001
36,10432 2987 5245 6589 4887 10302 1185 6940 7083 271
37,14060 5250 7001 10943 10338 2178 2204 6354 2843 5367
38,16342 4265 11057 5212 1890 758 12943 13237 9392 731
39,7681 84 16114 6210 12765 3890 271 6567 5403 10800
40,16342 4265 11057 8326 13237 5212 12943 758 1890 9392
41,8326 11057 4265 16342 9392 13237 12943 1890 5212 758
42,8326 11057 16342 4265 2843 7001 2178 6354 10943 2204
43,13576 7001 5250 10943 2178 6354 14060 2204 5367 10338
44,16342 11057 4265 10943 5367 2843 7001 14060 2204 13576
45,8326 16342 11057 4265 14125 2770 14267 10660 5128 5275
46,4265 16342 11057 5403 271 6567 13576 7001 2843 10338
47,4265 16342 11057 8326 5403 14060 10943 2204 5367 2178
48,16342 4265 11057 10943 10338 5250 13576 2843 6354 5367
49,13576 10943 2178 6354 7001 10338 2843 5250 5367 14060
50,6210 16114 12765 84 3890 5403 271 6567 10838 14665
51,8326 11057 16342 4265 14060 6354 5250 2843 2204 13576
52,14060 2204 5250 2178 5367 2843 7001 6354 10943 10338
53,13576 7001 10338 10943 5250 2204 5367 2843 2178 6354
54,11057 4265 16342 2204 2178 6354 10943 14060 13576 5367
55,5403 10943 5250 5367 2204 10338 2178 14060 6354 13576
56,16342 11057 4265 2843 13576 14060 2204 6354 10943 2178
